Id,SalePrice
1461,117775.92025428914
1463,181474.41436812625
1464,182967.78810702448
1468,169246.14904247157
1476,369951.61669743934
1477,254307.09138695995
1478,327869.9025171302
1480,570639.4114545577
1481,329032.68670521467
1482,220207.6646491037
1483,169720.35978342232
1484,158820.74521201814
1485,171192.95700540603
1486,195468.3704432343
1487,359314.1169096392
1488,228012.9917755558
1489,178827.48601017968
1490,244219.78246838812
1491,185469.27389262363
1497,199190.24614538133
1500,158770.57858942784
1502,173643.37013709004
1504,247497.18411133104
1505,223009.55012226885
1510,146707.21184615872
1519,191283.18629818707
1535,120287.173799855
1549,97128.5218237366
1554,107513.04207342796
1558,104384.79450007726
1568,209967.0418715411
1573,211127.23598394496
1576,198746.80982782796
1577,197393.48964470817
1579,145992.47485784505
1580,188716.56203280494
1584,209230.6921775968
1585,138480.9756475633
1586,74602.79814614006
1587,121947.65172215596
1589,116138.0686920469
1595,143058.12555214122
1597,281845.3142244294
1598,204860.62090386482
1605,254847.95057583175
1608,232196.22753636196
1609,185033.4314200757
1610,183258.85450757484
1612,178713.70888479095
1613,151445.67766636665
1618,124283.29632843418
1619,126136.38770282394
1623,254844.47857414628
1624,201214.19252822644
1627,180255.03002503465
1628,284039.6270845358
1633,168406.2188328337
1634,183142.2267282707
1639,188234.35749224498
1643,250381.7075491644
1644,242713.04356396815
1650,126200.51207951177
1651,120140.98527070333
1661,445733.56417605164
1662,379648.07648721343
1663,369210.90884507203
1664,500916.7035399057
1665,306355.47127665975
1666,346808.60367769847
1667,370723.61346382264
1668,331050.6958317303
1669,296600.083635721
1670,341672.1445477207
1671,265684.802689077
1672,439222.66088392737
1673,286390.9283600281
1674,259970.43112928953
1675,195459.1197009717
1676,205316.62062311356
1677,222428.07616243276
1679,411303.22579329775
1681,281228.3349928371
1682,314699.9829786247
1683,201495.12005534765
1684,172026.20881076812
1685,172462.5351100869
1686,176169.15715361698
1688,190712.85438283876
1689,183387.720865484
1690,186763.93790055715
1691,171773.68410743383
1692,263266.4691643981
1693,162015.51875699288
1694,176980.43600276453
1695,169384.42362810142
1696,245103.0072185719
1697,171621.48796541235
1698,337229.0046509247
1700,257665.39648240543
1702,247341.8225344555
1703,242360.18493498553
1704,280266.89833153674
1705,264536.860398927
1706,486082.2625435599
1707,210739.05150970153
1708,203203.241106029
1709,254376.92937995095
1710,247006.32748245331
1711,267064.25541749754
